iris_id,insee_commune_id,commune_name,place_in_commune,has_income_data
041120106,04112,Manosque,Montée des Richesses Saint-Lazare,True
041120107,04112,Manosque,Les Ponches-les Naves,True
041120108,04112,Manosque,Saint-Pancrace-les Serrets,True
041120109,04112,Manosque,Périphérie,True
041120110,04112,Manosque,Z.I. Saint-Joseph,False
042090101,04209,Sisteron,Centre Ville-La Baume-Le Gand,True
042090102,04209,Sisteron,Les Plantiers-Route de Marseille,True
042090103,04209,Sisteron,Quartiers Nord-Les Chaumianes-Le Thor,True
050230101,05023,Briançon,Briançon Vauban,False
050230102,05023,Briançon,Grande Boucle,True
050230103,05023,Briançon,République-Sainte Catherine,True
050230104,05023,Briançon,Briançon Nord,True
050230105,05023,Briançon,Briançon Sud,True
050230106,05023,Briançon,La Croix de Toulouse-Serre des Aigles,False
050230107,05023,Briançon,L'Infernet,False
050230108,05023,Briançon,Fort des Têtes-Fort de Rambouillet,False
050230109,05023,Briançon,Fort de la Croix de Bretagne,False
050460101,05046,Embrun,Centre Historique,True
050460102,05046,Embrun,Plan d'Eau-Les Vignes,True
050460103,05046,Embrun,Les Écarts,True
050610101,05061,Gap,Gap Centre,True
050610102,05061,Gap,Couronne,True
050610103,05061,Gap,Puymaure Chabanas,True
050610104,05061,Gap,Périphérie Nord,True
050610105,05061,Gap,La Gare,True
050610106,05061,Gap,Rochasson Bonneval,True
050610107,05061,Gap,Villarobert Saint-Michel,True
050610108,05061,Gap,Les Fauvins Treschatel,True
050610109,05061,Gap,Sainte-Marguerite Saint-Jean,True
050610110,05061,Gap,Molines,True
050610111,05061,Gap,Beauregard,True
050610112,05061,Gap,Villeneuve,True
050610113,05061,Gap,Serrebourges Fontreyne,True
050610114,05061,Gap,Belleaureille Saint-Roch,True
050610115,05061,Gap,Les Cèdres Tournefave,True
050610116,05061,Gap,Les Eyssagnières,True
050610117,05061,Gap,Les Fauvins Tokoro,False
050610118,05061,Gap,Chaudun,False
050610119,05061,Gap,Bayard,False
050610120,05061,Gap,Montagne Charance,False
050610201,05061,Gap,Romette Commune Associée,True
060040101,06004,Antibes,Les Trois Moulins,True
060040102,06004,Antibes,Les Semboules,True
060040103,06004,Antibes,Le Cap,False
060040104,06004,Antibes,Les Cougoulins-Rastines,True
060040105,06004,Antibes,La Constance-Le Puy,True
060040106,06004,Antibes,Les Groules-Les Bréguières,True
060040107,06004,Antibes,Azurville-Val Claret,True
060040108,06004,Antibes,La Fontonne,True
060040109,06004,Antibes,Les Combes,True
060040110,06004,Antibes,Rabiac-La Paganne,True
060040111,06004,Antibes,La Colle,True
060040112,06004,Antibes,Les Prugnons,True
060040113,06004,Antibes,Port Vauban,False
060040114,06004,Antibes,Lagare,True
060040115,06004,Antibes,Vieille Ville,True
060040116,06004,Antibes,Les Bastides,True
060040117,06004,Antibes,Fontmerle,True
060040118,06004,Antibes,Laval,True
060040119,06004,Antibes,L'Estagnol,True
060040120,06004,Antibes,Saint-Jean,True
060040121,06004,Antibes,La Badine,True
060040122,06004,Antibes,Saint-Maymes-Lauvert,True
060040123,06004,Antibes,Place de Gaulle,True
060040124,06004,Antibes,Ponteil,True
060040125,06004,Antibes,Juan Les Pins-Gallice,True
060040126,06004,Antibes,Pont du Lys-Antibes-Les Pins,True
060120101,06012,Beausoleil,Beausoleil Supérieur,True
060120102,06012,Beausoleil,Tenao Inférieur,True
060120103,06012,Beausoleil,Moneghetti Ouest,True
060120104,06012,Beausoleil,Moneghetti Est,True
060120105,06012,Beausoleil,Centre,True
060180101,06018,Biot,Village-Saint-Julien-Saint-Pierre,True
060180102,06018,Biot,Vallée Verte-Issarts-Vignasses,True
060180103,06018,Biot,Bois Fleuri-Chèvre d'Or-Saint-Philippe,True
060270101,06027,Cagnes-sur-Mer,Le Centre-Le Haut de Cagnes,True
060270102,06027,Cagnes-sur-Mer,La Gare,True
060270103,06027,Cagnes-sur-Mer,L'Hubac,True
060270104,06027,Cagnes-sur-Mer,Saint-Jean,True
060270105,06027,Cagnes-sur-Mer,Saint-Véran,True
060270106,06027,Cagnes-sur-Mer,Hippodrome,False
060270107,06027,Cagnes-sur-Mer,Juin-Kennedy,True
060270108,06027,Cagnes-sur-Mer,Le Cros de Cagnes,True
