iris_id,commune_name,place_in_commune,taux_bas_revenus_pct,revenu_q1_eur,revenu_median_eur,revenu_q3_eur,revenu_d1_eur,revenu_d9_eur,part_revenus_activite_pct,part_pensions_pct,part_revenus_patrimoine_pct,part_prestations_sociales_pct,part_prestations_familiales_pct,part_minima_sociaux_pct,part_prestations_logement_pct,part_impots_pct
352380606,Rennes,Le Bois Perrin,29.0,13120.0,18700.0,26990.0,8740.0,36270.0,81.3,17.1,4.8,12.2,2.1,6.3,3.8,-15.4
352380701,Rennes,Croix Saint-Hélier,8.0,20280.0,27770.0,35910.0,14730.0,48280.0,88.8,17.0,10.2,3.3,0.9,1.6,0.8,-19.3
352380702,Rennes,Cimetière de l'Est,17.0,16020.0,23660.0,32840.0,10980.0,41590.0,83.8,19.6,5.6,7.5,1.4,4.2,1.9,-16.5
352380703,Rennes,Le Landry,11.0,19510.0,27130.0,34430.0,13750.0,43100.0,77.8,27.8,6.7,5.0,1.7,2.2,1.1,-17.3
352380705,Rennes,La Poterie Sud,18.0,15680.0,22140.0,29720.0,11260.0,36030.0,79.7,22.2,4.3,8.3,2.1,4.3,1.9,-14.5
352380706,Rennes,La Poterie Nord,10.0,19980.0,26460.0,33760.0,14040.0,41740.0,78.4,28.4,6.4,4.1,1.3,1.8,1.0,-17.3
352380707,Rennes,Fernand Jacq,27.0,13630.0,19950.0,27090.0,9530.0,33320.0,68.9,27.3,5.0,11.8,3.0,6.1,2.7,-13.0
352380708,Rennes,Fransisco Ferrer,19.0,15830.0,22680.0,31620.0,11410.0,42530.0,80.4,23.0,5.7,7.2,1.8,3.5,1.9,-16.3
352380801,Rennes,Albert de Mun,14.0,18100.0,26540.0,36650.0,12540.0,48870.0,85.4,20.4,9.2,5.2,1.6,2.3,1.3,-20.2
352380802,Rennes,Coutenceau,11.0,19710.0,27460.0,36300.0,13410.0,47610.0,79.6,27.9,7.2,4.2,1.3,1.9,1.0,-18.9
352380803,Rennes,Gaëtan Hervé,11.0,20120.0,25910.0,32400.0,13700.0,39980.0,72.1,32.9,6.4,4.5,1.3,2.2,1.0,-15.9
352380804,Rennes,Jean-Baptiste Barre,12.0,19100.0,27130.0,38550.0,12950.0,51880.0,89.8,18.5,9.0,4.3,1.0,2.1,1.2,-21.6
352380805,Rennes,Haut Quineleu,9.0,20250.0,28810.0,38930.0,13920.0,52090.0,90.2,19.7,8.3,3.6,1.0,1.6,1.0,-21.8
352380806,Rennes,Margueritte,13.0,19690.0,28310.0,38740.0,12810.0,52150.0,86.4,21.0,8.0,4.5,1.0,2.2,1.3,-19.9
352380807,Rennes,Villeneuve,21.0,15570.0,23740.0,35680.0,10580.0,51310.0,89.6,15.3,8.1,6.8,1.4,3.6,1.8,-19.8
352380808,Rennes,La Madeleine Mauconseil,17.0,17200.0,24380.0,33860.0,11470.0,46430.0,86.7,17.2,8.3,6.3,1.4,3.2,1.7,-18.5
352380901,Rennes,Arsenal,17.0,16750.0,25480.0,36850.0,11570.0,53460.0,82.2,23.4,13.3,4.7,1.0,2.4,1.3,-23.6
352380902,Rennes,La Mabilais,14.0,18040.0,25730.0,35650.0,11920.0,48860.0,91.2,15.5,8.7,4.4,1.1,2.0,1.3,-19.8
352380903,Rennes,Cleunay Est,18.0,15830.0,22310.0,29500.0,11310.0,37660.0,88.5,12.4,6.8,8.3,2.4,4.0,1.9,-16.0
352380904,Rennes,Cleunay Ouest,24.0,14190.0,21070.0,27940.0,9860.0,35860.0,76.4,22.5,6.0,10.0,1.7,5.8,2.5,-14.9
352381001,Rennes,Pontchaillou,29.0,12860.0,19720.0,27380.0,8940.0,35670.0,80.6,20.9,5.8,8.9,1.3,4.2,3.4,-16.2
352381002,Rennes,Villejean Sud-Est,41.0,11440.0,16260.0,22550.0,8100.0,28870.0,49.9,41.3,4.0,14.9,3.9,7.2,3.8,-10.1
352381003,Rennes,Villejean Sud-Ouest,41.0,11280.0,16130.0,22680.0,7800.0,29890.0,63.8,27.4,4.2,16.2,4.8,7.2,4.2,-11.6
352381004,Rennes,Villejean Nord-Ouest,45.0,10990.0,14600.0,19970.0,8590.0,25350.0,65.7,18.4,2.1,22.8,6.9,10.5,5.4,-9.0
352381005,Rennes,Villejean Nord-Est,47.0,10790.0,14710.0,20800.0,7650.0,27240.0,59.0,32.7,3.1,16.0,4.6,7.0,4.4,-10.8
352381006,Rennes,Dalle Kennedy,57.0,10220.0,12710.0,16410.0,7280.0,20850.0,53.8,18.6,1.5,33.1,11.2,13.9,8.0,-7.0
352381007,Rennes,Beauregard,22.0,14700.0,20380.0,26690.0,11200.0,33250.0,91.2,10.3,3.0,9.7,2.8,4.5,2.4,-14.2
352381101,Rennes,Le Landrel Ouest,41.0,11420.0,15200.0,20750.0,8900.0,26110.0,65.2,23.2,2.2,19.2,6.7,8.3,4.2,-9.8
352381102,Rennes,Le Landrel Est Les Hautes Ourmes,43.0,11170.0,15020.0,20870.0,8870.0,26590.0,64.5,22.3,2.1,20.8,5.8,10.3,4.7,-9.7
352381103,Rennes,Sainte-Élisabeth-Grèce,13.0,17950.0,25080.0,31380.0,12800.0,39500.0,59.5,45.3,6.0,5.2,1.8,2.3,1.1,-16.0
352381104,Rennes,Torigné Ouest,55.0,10320.0,13170.0,17740.0,8220.0,22410.0,60.2,18.5,2.0,27.2,8.2,12.8,6.2,-7.9
352381105,Rennes,Torigné Est,53.0,10800.0,13580.0,18000.0,8360.0,22060.0,54.8,25.3,2.0,25.4,7.0,12.3,6.1,-7.5
352381106,Rennes,Saint-Benoît,47.0,10930.0,14000.0,18720.0,8520.0,24030.0,60.1,20.9,1.9,25.3,7.7,12.3,5.3,-8.2
352381107,Rennes,Suisse,39.0,12040.0,16020.0,21650.0,9230.0,27350.0,60.9,30.8,2.6,15.7,4.5,7.5,3.7,-10.0
352381108,Rennes,Portugal,19.0,16970.0,22360.0,27970.0,11390.0,34780.0,61.3,41.4,4.9,5.9,2.0,2.7,1.2,-13.5
352381109,Rennes,Henri Fréville Sud-Est,21.0,15000.0,20570.0,26420.0,10300.0,31990.0,62.7,36.6,4.7,8.7,2.2,4.4,2.1,-12.7
352381201,Rennes,Les Hautes Chalais,23.0,14260.0,19760.0,25400.0,10760.0,32850.0,80.2,17.7,3.8,11.0,3.2,5.3,2.5,-12.7
