insee_commune_id,commune_name_upper,commune_name,has_crime_data,has_revenu_data
02037,AULNOIS SOUS LAON,Aulnois-sous-Laon,True,False
02038,AUTELS,Autels,False,False
02039,AUTREMENCOURT,Autremencourt,False,False
02040,AUTREPPES,Autreppes,False,False
02041,AUTREVILLE,Autreville,True,False
02042,AZY SUR MARNE,Azy-sur-Marne,False,False
02043,BAGNEUX,Bagneux,False,False
02044,BANCIGNY,Bancigny,False,False
02046,BARENTON BUGNY,Barenton-Bugny,False,False
02047,BARENTON CEL,Barenton-Cel,False,False
02048,BARENTON SUR SERRE,Barenton-sur-Serre,False,False
02049,BARISIS AUX BOIS,Barisis-aux-Bois,False,False
02050,BARZY EN THIERACHE,Barzy-en-Thiérache,False,False
02051,BARZY SUR MARNE,Barzy-sur-Marne,False,False
02052,BASSOLES AULERS,Bassoles-Aulers,False,False
02053,VALLEES EN CHAMPAGNE,Vallées en Champagne,False,False
02054,BAZOCHES ET SAINT THIBAUT,Bazoches-et-Saint-Thibaut,True,False
02055,BEAUME,Beaumé,False,False
02056,BEAUMONT EN BEINE,Beaumont-en-Beine,False,False
02057,BEAUREVOIR,Beaurevoir,True,False
02058,BEAURIEUX,Beaurieux,False,False
02059,BEAUTOR,Beautor,True,False
02060,BEAUVOIS EN VERMANDOIS,Beauvois-en-Vermandois,False,False
02061,BECQUIGNY,Becquigny,False,False
02062,BELLEAU,Belleau,False,False
02063,BELLENGLISE,Bellenglise,False,False
02064,BELLEU,Belleu,True,False
02065,BELLICOURT,Bellicourt,False,False
02066,BENAY,Benay,False,False
02067,BERGUES SUR SAMBRE,Bergues-sur-Sambre,False,False
02068,BERLANCOURT,Berlancourt,False,False
02069,BERLISE,Berlise,False,False
02070,BERNOT,Bernot,False,False
02071,BERNY RIVIERE,Berny-Rivière,True,False
02072,BERRIEUX,Berrieux,False,False
02073,BERRY AU BAC,Berry-au-Bac,False,False
02074,BERTAUCOURT EPOURDON,Bertaucourt-Epourdon,False,False
02075,BERTHENICOURT,Berthenicourt,False,False
02076,BERTRICOURT,Bertricourt,False,False
02078,BESME,Besmé,False,False
02079,BESMONT,Besmont,False,False
02080,BESNY ET LOIZY,Besny-et-Loizy,False,False
02081,BETHANCOURT EN VAUX,Béthancourt-en-Vaux,False,False
